"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"null",365,10,500,873,23,FALSE,"H3a",-1,0,0,-0.0618,0.0586,0.503
"null",365,10,500,873,23,FALSE,"H3b",-1,0,-6e-04,-0.0623,0.0565,0.466
"null",365,10,500,873,23,FALSE,"H4",1,0,-2e-04,-0.0628,0.0666,0.4905
"null",365,10,500,873,23,FALSE,"null:sleep_efficiency",1,0,-4e-04,-0.0682,0.0568,0.476
"null",365,10,500,873,23,FALSE,"null:hrv_ms",1,0,-0.0031,-0.0905,0.0372,0.373
"null",365,10,500,873,23,FALSE,"null:resting_hr",1,0,0.0018,-0.0392,0.0815,0.5725
"null",365,10,500,873,23,FALSE,"null:skin_temp_dev_c",1,0,0.0019,-0.0408,0.0783,0.581
"null",365,10,500,873,23,FALSE,"null:exercise_min",1,0,1e-04,-0.0567,0.0633,0.5085
"null",365,10,500,873,23,FALSE,"null:outdoor_min",1,0,0,-0.0537,0.0622,0.502
"null",365,10,500,873,23,FALSE,"null:caffeine_mg",1,0,-4e-04,-0.0653,0.0536,0.4775
"null",365,10,500,873,23,FALSE,"null:alcohol_units",1,0,4e-04,-0.0539,0.0751,0.5155
"null",365,10,500,873,23,FALSE,"null:work_day",1,0,-0.0036,-0.0962,0.0357,0.3635
"null",365,10,500,873,23,FALSE,"null:travel",1,0,0.0016,-0.0452,0.0746,0.578
"null",365,10,500,873,23,FALSE,"null:sick",1,0,-2e-04,-0.0703,0.0553,0.4845
"null",365,10,500,873,23,FALSE,"null:temp_mean_c",1,0,1e-04,-0.0581,0.0609,0.512
"null",365,10,500,873,23,FALSE,"null:precipitation_mm",1,0,-0.0019,-0.0794,0.0432,0.4215
"null",365,10,500,873,23,FALSE,"null:sunshine_hours",1,0,0.0015,-0.0463,0.0774,0.5645
"null",365,10,500,873,23,FALSE,"null:daylight_hours",1,0,1e-04,-0.0667,0.0632,0.5065
"null",365,10,500,873,23,FALSE,"null:pm25",1,0,3e-04,-0.0572,0.0614,0.5265
"null",365,10,500,873,23,FALSE,"null:indoor_pm25",1,0,4e-04,-0.0559,0.0657,0.5345
"null",365,10,500,873,23,FALSE,"null:indoor_voc",1,0,-7e-04,-0.067,0.0526,0.4665
"null",365,10,500,873,23,FALSE,"H5",1,0,-0.0599,-0.2936,0.1903,0.319
"null",365,11,500,867,23,FALSE,"H1",1,0,0.0133,-0.071,0.1309,0.65
"null",365,11,500,867,23,FALSE,"H2",1,0,0.009,-0.0776,0.1187,0.599
"null",365,11,500,867,23,FALSE,"H3a",-1,0,-0.0221,-0.1512,0.0569,0.289
"null",365,11,500,867,23,FALSE,"H3b",-1,0,-0.0183,-0.1459,0.0661,0.3125
"null",365,11,500,867,23,FALSE,"H4",1,0,-0.0038,-0.1109,0.0936,0.454
"null",365,11,500,867,23,FALSE,"null:sleep_efficiency",1,0,0.0401,-0.0383,0.1879,0.817
"null",365,11,500,867,23,FALSE,"null:hrv_ms",1,0,-0.0091,-0.1148,0.0735,0.3855
"null",365,11,500,867,23,FALSE,"null:resting_hr",1,0,0.014,-0.0598,0.1267,0.658
"null",365,11,500,867,23,FALSE,"null:skin_temp_dev_c",1,0,0.0272,-0.0468,0.1524,0.7605
"null",365,11,500,867,23,FALSE,"null:exercise_min",1,0,0.0337,-0.0474,0.1696,0.7855
"null",365,11,500,867,23,FALSE,"null:outdoor_min",1,0,-0.0126,-0.1454,0.0858,0.3805
"null",365,11,500,867,23,FALSE,"null:caffeine_mg",1,0,-0.0216,-0.1489,0.0601,0.29
"null",365,11,500,867,23,FALSE,"null:alcohol_units",1,0,0.0012,-0.1029,0.1052,0.521
"null",365,11,500,867,23,FALSE,"null:work_day",1,0,-0.0104,-0.1512,0.0959,0.3805
"null",365,11,500,867,23,FALSE,"null:travel",1,0,0.025,-0.0655,0.1615,0.7205
"null",365,11,500,867,23,FALSE,"null:sick",1,0,-0.019,-0.1445,0.0644,0.3015
"null",365,11,500,867,23,FALSE,"null:temp_mean_c",1,0,-0.0118,-0.1356,0.0844,0.3665
"null",365,11,500,867,23,FALSE,"null:precipitation_mm",1,0,-0.0324,-0.1511,0.0483,0.2045
"null",365,11,500,867,23,FALSE,"null:sunshine_hours",1,0,0.0492,-0.0286,0.1964,0.858
"null",365,11,500,867,23,FALSE,"null:daylight_hours",1,0,-0.027,-0.1642,0.0535,0.2685
"null",365,11,500,867,23,FALSE,"null:pm25",1,0,-0.0681,-0.2177,0.0148,0.094
"null",365,11,500,867,23,FALSE,"null:indoor_pm25",1,0,-0.0131,-0.1495,0.075,0.3595
"null",365,11,500,867,23,FALSE,"null:indoor_voc",1,0,-0.0098,-0.13,0.0806,0.3815
"null",365,11,500,867,23,FALSE,"H5",1,0,-0.1886,-0.696,0.6951,0.301
"null",365,12,500,890,23,FALSE,"H1",1,0,-0.004,-0.0954,0.0441,0.3885
"null",365,12,500,890,23,FALSE,"H2",1,0,-6e-04,-0.0655,0.0647,0.471
"null",365,12,500,890,23,FALSE,"H3a",-1,0,0.001,-0.0553,0.0783,0.54
"null",365,12,500,890,23,FALSE,"H3b",-1,0,6e-04,-0.0601,0.0749,0.5225
"null",365,12,500,890,23,FALSE,"H4",1,0,0.0074,-0.0351,0.1167,0.6925
